"Hair","Eye","Sex"
"Brown","Brown","Male"
"Brown","Green","Male"
"Brown","Green","Female"
"Brown","Green","Male"
"Brown","Brown","Female"
"Red","Brown","Female"
"Brown","Hazel","Male"
"Blond","Green","Male"
"Brown","Hazel","Female"
"Blond","Blue","Female"
"Brown","Brown","Female"
"Brown","Hazel","Female"
"Brown","Blue","Male"
"Brown","Blue","Female"
"Blond","Blue","Female"
"Blond","Blue","Female"
"Blond","Brown","Female"
"Blond","Green","Male"
"Brown","Hazel","Female"
"Red","Blue","Female"
"Blond","Blue","Female"
"Brown","Brown","Female"
"Brown","Brown","Female"
"Brown","Blue","Male"
"Black","Hazel","Male"
"Blond","Blue","Male"
"Black","Blue","Female"
"Red","Hazel","Male"
"Blond","Blue","Male"
"Red","Blue","Male"
"Brown","Hazel","Male"
"Blond","Blue","Male"
"Brown","Hazel","Female"
"Blond","Green","Female"
"Black","Hazel","Female"
"Brown","Brown","Female"
"Blond","Blue","Female"
"Blond","Blue","Female"
"Blond","Blue","Female"
"Brown","Green","Female"
"Brown","Hazel","Female"
"Brown","Green","Female"
"Brown","Hazel","Female"
"Blond","Blue","Female"
"Brown","Brown","Female"
"Brown","Green","Female"
"Black","Brown","Male"
"Red","Blue","Female"
"Brown","Hazel","Male"
"Blond","Hazel","Male"
"Black","Blue","Male"
"Red","Green","Female"
"Brown","Blue","Male"
"Black","Blue","Male"
"Brown","Brown","Male"
"Brown","Brown","Female"
"Brown","Blue","Male"
"Blond","Blue","Male"
"Black","Brown","Female"
"Brown","Blue","Female"
"Brown","Blue","Female"
"Brown","Blue","Female"
"Blond","Blue","Female"
"Black","Brown","Female"
"Blond","Green","Female"
"Blond","Blue","Female"
"Brown","Brown","Female"
"Black","Brown","Female"
"Blond","Blue","Male"
"Brown","Green","Male"
"Brown","Brown","Female"
"Brown","Green","Male"
"Black","Blue","Female"
"Red","Blue","Male"
"Brown","Blue","Male"
"Brown","Blue","Male"
"Red","Brown","Female"
"Black","Brown","Female"
"Brown","Brown","Male"
"Red","Brown","Male"
"Brown","Hazel","Female"
"Black","Brown","Female"
"Red","Green","Female"
"Brown","Blue","Female"
"Brown","Blue","Female"
"Black","Brown","Male"
"Brown","Blue","Male"
"Red","Green","Female"
"Brown","Hazel","Male"
"Brown","Blue","Female"
"Brown","Brown","Male"
"Brown","Blue","Male"
"Brown","Brown","Female"
"Black","Brown","Male"
"Red","Blue","Male"
"Red","Hazel","Female"
"Black","Brown","Male"
"Blond","Blue","Female"
"Red","Blue","Male"
"Brown","Brown","Female"
"Brown","Blue","Female"
"Red","Hazel","Male"
"Brown","Hazel","Female"
"Brown","Blue","Male"
"Black","Hazel","Female"
"Black","Blue","Male"
"Brown","Brown","Male"
"Brown","Brown","Female"
"Black","Brown","Male"
"Red","Green","Female"
"Blond","Green","Female"
"Brown","Green","Male"
"Black","Blue","Male"
"Blond","Blue","Female"
"Brown","Blue","Female"
"Red","Brown","Male"
"Brown","Brown","Female"
"Red","Green","Male"
"Black","Blue","Male"
"Black","Brown","Female"
"Black","Hazel","Male"
"Black","Green","Male"
"Blond","Blue","Female"
"Brown","Hazel","Male"
"Red","Blue","Female"
"Blond","Blue","Female"
"Brown","Brown","Male"
"Black","Brown","Male"
"Black","Blue","Female"
"Brown","Blue","Male"
"Brown","Brown","Female"
"Blond","Blue","Male"
"Red","Brown","Female"
"Blond","Blue","Male"
"Brown","Brown","Male"
"Black","Brown","Female"
"Brown","Blue","Female"
"Brown","Hazel","Female"
"Black","Hazel","Male"
"Brown","Brown","Female"
"Red","Brown","Female"
"Red","Blue","Female"
"Brown","Brown","Male"
"Brown","Blue","Male"
"Black","Brown","Male"
"Brown","Brown","Female"
"Black","Brown","Male"
"Red","Brown","Male"
"Brown","Hazel","Male"
"Black","Blue","Female"
"Blond","Green","Female"
"Brown","Blue","Male"
"Black","Brown","Male"
"Brown","Brown","Female"
"Brown","Hazel","Male"
"Red","Brown","Female"
"Black","Hazel","Female"
"Brown","Brown","Male"
"Blond","Blue","Male"
"Blond","Blue","Male"
"Brown","Blue","Male"
"Red","Brown","Male"
"Brown","Blue","Female"
"Black","Hazel","Male"
"Black","Brown","Male"
"Red","Blue","Male"
"Brown","Blue","Female"
"Blond","Blue","Female"
"Brown","Green","Female"
"Brown","Brown","Female"
"Brown","Brown","Male"
"Blond","Blue","Female"
"Black","Brown","Male"
"Black","Brown","Male"
"Brown","Hazel","Male"
"Blond","Blue","Female"
"Brown","Green","Male"
"Black","Hazel","Female"
"Brown","Blue","Female"
"Brown","Brown","Male"
"Black","Brown","Female"
"Brown","Brown","Female"
"Brown","Blue","Male"
"Black","Brown","Female"
"Brown","Blue","Female"
"Red","Brown","Female"
"Black","Brown","Female"
"Brown","Blue","Male"
"Blond","Blue","Female"
"Blond","Blue","Female"
"Blond","Brown","Female"
"Brown","Green","Male"
"Brown","Brown","Male"
"Blond","Blue","Female"
"Red","Blue","Male"
"Brown","Brown","Male"
"Brown","Brown","Female"
"Brown","Hazel","Female"
"Black","Brown","Male"
"Blond","Blue","Female"
"Blond","Blue","Female"
"Blond","Hazel","Female"
"Brown","Brown","Female"
"Brown","Blue","Male"
"Brown","Hazel","Female"
"Black","Blue","Female"
"Brown","Blue","Male"
"Brown","Hazel","Female"
"Black","Blue","Female"
"Blond","Green","Female"
"Brown","Hazel","Female"
"Brown","Hazel","Male"
"Brown","Brown","Female"
"Red","Blue","Female"
"Brown","Brown","Female"
"Black","Blue","Male"
"Brown","Blue","Male"
"Brown","Green","Female"
"Blond","Blue","Male"
"Brown","Green","Female"
"Blond","Blue","Female"
"Black","Brown","Female"
"Blond","Blue","Female"
"Brown","Brown","Male"
"Blond","Green","Male"
"Black","Hazel","Male"
"Black","Brown","Female"
"Brown","Blue","Male"
"Brown","Hazel","Female"
"Blond","Blue","Female"
"Brown","Brown","Male"
"Black","Hazel","Male"
"Black","Green","Male"
"Black","Blue","Male"
"Blond","Blue","Male"
"Blond","Blue","Female"
"Brown","Blue","Male"
"Brown","Brown","Female"
"Red","Green","Male"
"Red","Hazel","Female"
"Brown","Brown","Male"
"Black","Blue","Female"
"Blond","Blue","Female"
"Brown","Blue","Female"
"Brown","Hazel","Male"
"Red","Blue","Female"
"Brown","Blue","Male"
"Brown","Blue","Male"
"Red","Green","Male"
"Red","Blue","Female"
"Brown","Hazel","Male"
"Brown","Brown","Female"
"Brown","Blue","Female"
"Red","Brown","Female"
"Red","Blue","Male"
"Brown","Brown","Male"
"Brown","Brown","Female"
"Brown","Brown","Male"
"Black","Brown","Male"
"Brown","Brown","Male"
"Black","Brown","Female"
"Brown","Blue","Male"
"Brown","Blue","Male"
"Brown","Blue","Female"
"Brown","Hazel","Female"
"Red","Brown","Female"
"Black","Brown","Male"
"Red","Brown","Male"
"Brown","Hazel","Male"
"Blond","Brown","Female"
"Brown","Blue","Male"
"Blond","Blue","Female"
"Brown","Brown","Female"
"Black","Hazel","Male"
"Blond","Blue","Female"
"Brown","Brown","Male"
"Blond","Hazel","Male"
"Red","Green","Female"
"Blond","Blue","Female"
"Black","Brown","Male"
"Brown","Brown","Male"
"Blond","Green","Female"
"Brown","Green","Male"
"Brown","Brown","Female"
"Brown","Brown","Female"
"Blond","Hazel","Female"
"Red","Brown","Female"
"Red","Blue","Male"
"Brown","Brown","Female"
"Brown","Blue","Male"
"Black","Hazel","Male"
"Blond","Green","Female"
"Black","Blue","Female"
"Brown","Green","Male"
"Red","Hazel","Female"
"Brown","Hazel","Female"
"Blond","Blue","Male"
"Brown","Brown","Male"
"Black","Brown","Male"
"Brown","Blue","Male"
"Brown","Hazel","Female"
"Blond","Blue","Female"
"Blond","Blue","Female"
"Blond","Blue","Male"
"Blond","Blue","Female"
"Red","Green","Male"
"Brown","Blue","Male"
"Blond","Green","Male"
"Red","Green","Female"
"Blond","Blue","Female"
"Blond","Green","Male"
"Brown","Blue","Female"
"Brown","Blue","Female"
"Brown","Hazel","Female"
"Red","Brown","Female"
"Brown","Blue","Female"
"Brown","Brown","Male"
"Black","Hazel","Female"
"Brown","Brown","Male"
"Brown","Blue","Male"
"Blond","Brown","Male"
"Blond","Blue","Female"
"Black","Brown","Male"
"Black","Brown","Male"
"Brown","Blue","Female"
"Red","Hazel","Female"
"Blond","Blue","Female"
"Brown","Hazel","Male"
"Black","Brown","Male"
"Brown","Brown","Male"
"Black","Brown","Female"
"Brown","Brown","Female"
"Blond","Blue","Male"
"Red","Brown","Female"
"Blond","Blue","Female"
"Blond","Blue","Male"
"Blond","Blue","Male"
"Brown","Brown","Female"
"Brown","Blue","Male"
"Brown","Brown","Female"
"Red","Brown","Female"
"Black","Blue","Male"
"Brown","Brown","Female"
"Brown","Blue","Male"
"Brown","Green","Female"
"Brown","Blue","Male"
"Brown","Blue","Male"
"Blond","Brown","Male"
"Brown","Brown","Female"
"Black","Blue","Male"
"Blond","Blue","Female"
"Brown","Blue","Female"
"Brown","Brown","Male"
"Brown","Hazel","Female"
"Blond","Blue","Female"
"Black","Brown","Female"
"Brown","Brown","Female"
"Red","Hazel","Female"
"Brown","Blue","Male"
"Black","Brown","Female"
"Brown","Hazel","Male"
"Brown","Brown","Male"
"Red","Hazel","Male"
"Black","Brown","Female"
"Brown","Brown","Male"
"Brown","Brown","Male"
"Brown","Brown","Male"
"Black","Hazel","Male"
"Brown","Brown","Male"
"Brown","Green","Male"
"Brown","Blue","Male"
"Blond","Blue","Female"
"Red","Brown","Male"
"Brown","Hazel","Male"
"Brown","Hazel","Male"
"Brown","Brown","Female"
"Brown","Hazel","Female"
"Blond","Blue","Female"
"Black","Brown","Male"
"Brown","Brown","Male"
"Brown","Brown","Female"
"Brown","Green","Female"
"Black","Brown","Female"
"Brown","Green","Male"
"Blond","Blue","Female"
"Black","Green","Female"
"Blond","Green","Female"
"Red","Brown","Male"
"Blond","Green","Male"
"Red","Hazel","Male"
"Brown","Blue","Male"
"Blond","Blue","Male"
"Blond","Blue","Male"
"Red","Brown","Female"
"Blond","Hazel","Male"
"Blond","Blue","Female"
"Brown","Hazel","Female"
"Brown","Blue","Female"
"Brown","Brown","Female"
"Brown","Brown","Female"
"Brown","Hazel","Female"
"Blond","Blue","Male"
"Black","Brown","Female"
"Brown","Blue","Female"
"Red","Green","Female"
"Brown","Brown","Female"
"Red","Green","Male"
"Red","Green","Male"
"Brown","Brown","Male"
"Black","Brown","Male"
"Black","Brown","Female"
"Brown","Brown","Female"
"Blond","Blue","Male"
"Black","Brown","Female"
"Blond","Hazel","Female"
"Brown","Brown","Female"
"Brown","Blue","Female"
"Black","Brown","Female"
"Brown","Brown","Female"
"Blond","Blue","Female"
"Black","Brown","Male"
"Brown","Blue","Male"
"Brown","Green","Female"
"Blond","Blue","Male"
"Black","Blue","Female"
"Brown","Blue","Female"
"Red","Hazel","Male"
"Black","Hazel","Male"
"Black","Brown","Female"
"Brown","Blue","Male"
"Brown","Brown","Male"
"Black","Brown","Female"
"Blond","Blue","Male"
"Blond","Blue","Female"
"Black","Brown","Female"
"Black","Green","Male"
"Blond","Green","Male"
"Brown","Brown","Male"
"Brown","Green","Female"
"Red","Green","Male"
"Blond","Blue","Male"
"Blond","Blue","Male"
"Blond","Blue","Female"
"Brown","Brown","Female"
"Brown","Blue","Male"
"Brown","Brown","Male"
"Blond","Hazel","Male"
"Brown","Brown","Male"
"Brown","Blue","Female"
"Red","Blue","Male"
"Red","Brown","Male"
"Brown","Brown","Male"
"Blond","Brown","Female"
"Blond","Blue","Female"
"Red","Hazel","Male"
"Brown","Hazel","Male"
"Brown","Brown","Female"
"Brown","Blue","Male"
"Black","Brown","Male"
"Red","Brown","Male"
"Red","Blue","Male"
"Black","Brown","Male"
"Brown","Hazel","Male"
"Brown","Hazel","Male"
"Blond","Blue","Male"
"Brown","Blue","Female"
"Blond","Blue","Female"
"Brown","Blue","Male"
"Brown","Brown","Male"
"Brown","Blue","Male"
"Blond","Blue","Female"
"Black","Brown","Female"
"Brown","Blue","Male"
"Brown","Blue","Female"
"Brown","Hazel","Male"
"Black","Brown","Male"
"Black","Brown","Female"
"Brown","Brown","Female"
"Brown","Brown","Male"
"Brown","Brown","Male"
"Black","Brown","Female"
"Brown","Hazel","Female"
"Blond","Blue","Female"
"Brown","Hazel","Female"
"Brown","Blue","Male"
"Blond","Green","Male"
"Brown","Hazel","Male"
"Brown","Green","Male"
"Brown","Green","Female"
"Brown","Brown","Male"
"Brown","Blue","Female"
"Black","Blue","Male"
"Black","Brown","Male"
"Red","Hazel","Male"
"Brown","Hazel","Male"
"Brown","Blue","Female"
"Black","Brown","Female"
"Red","Brown","Female"
"Brown","Blue","Female"
"Blond","Blue","Female"
"Brown","Green","Female"
"Blond","Blue","Female"
"Blond","Blue","Female"
"Black","Brown","Female"
"Blond","Blue","Female"
"Brown","Blue","Male"
"Blond","Blue","Female"
"Brown","Brown","Female"
"Red","Brown","Male"
"Brown","Hazel","Male"
"Black","Brown","Male"
"Brown","Brown","Female"
"Brown","Brown","Female"
"Blond","Hazel","Female"
"Black","Brown","Female"
"Blond","Blue","Female"
"Blond","Blue","Female"
"Brown","Brown","Female"
"Brown","Brown","Male"
"Brown","Blue","Male"
"Blond","Blue","Female"
"Blond","Blue","Female"
"Black","Brown","Male"
"Brown","Hazel","Female"
"Black","Brown","Male"
"Brown","Hazel","Male"
"Brown","Brown","Female"
"Red","Hazel","Female"
"Brown","Blue","Male"
"Brown","Brown","Female"
"Black","Brown","Female"
"Brown","Brown","Female"
"Blond","Blue","Female"
"Blond","Blue","Male"
"Red","Hazel","Female"
"Blond","Hazel","Female"
"Red","Brown","Female"
"Black","Brown","Female"
"Black","Brown","Female"
"Brown","Brown","Female"
"Red","Brown","Female"
"Brown","Brown","Male"
"Brown","Hazel","Female"
"Black","Blue","Male"
"Brown","Brown","Male"
"Brown","Hazel","Male"
"Black","Brown","Male"
"Blond","Blue","Female"
"Black","Brown","Male"
"Brown","Brown","Male"
"Brown","Brown","Male"
"Blond","Blue","Male"
"Brown","Brown","Female"
"Brown","Brown","Female"
"Brown","Hazel","Female"
"Brown","Blue","Male"
"Black","Brown","Female"
"Blond","Blue","Female"
"Brown","Brown","Male"
"Blond","Blue","Female"
"Brown","Brown","Female"
"Brown","Green","Male"
"Brown","Blue","Female"
"Brown","Blue","Female"
"Brown","Hazel","Female"
"Brown","Brown","Male"
"Brown","Brown","Male"
"Brown","Brown","Female"
"Brown","Brown","Female"
"Brown","Brown","Female"
"Brown","Brown","Female"
"Brown","Blue","Male"
"Brown","Brown","Female"
"Blond","Blue","Male"
"Blond","Blue","Male"
"Brown","Brown","Male"
"Black","Green","Female"
"Brown","Brown","Male"
"Blond","Blue","Male"
"Brown","Brown","Female"
"Brown","Blue","Male"
"Brown","Brown","Male"
"Blond","Brown","Male"
"Brown","Brown","Female"
"Brown","Green","Male"
"Black","Brown","Female"
"Brown","Green","Male"
"Brown","Green","Female"
"Blond","Hazel","Male"
"Brown","Brown","Female"
"Blond","Blue","Female"
"Brown","Hazel","Female"
